customer_id,age,tenure_months,contract_type,monthly_charges,support_tickets,churn_flag,total_charges
C-1000,64,24,One Year,27.62,2,0,662.88
C-1001,45,19,Two Year,47.47,9,0,901.93
C-1002,57,37,Two Year,100.7,3,0,3725.9
C-1003,37,8,Month-to-Month,65.97,3,0,527.76
C-1004,66,28,Month-to-Month,74.66,1,0,2090.48
C-1005,50,5,Two Year,63.28,0,0,316.4
C-1006,29,17,Month-to-Month,24.39,2,1,414.63
C-1007,68,36,Month-to-Month,36.57,3,1,1316.52
C-1008,32,19,Month-to-Month,64.55,2,1,1226.45
C-1009,58,64,Two Year,40.92,7,1,2618.88
C-1010,56,11,Month-to-Month,25.0,9,1,275.0
C-1011,19,54,Two Year,104.36,0,0,5635.44
C-1012,46,45,Month-to-Month,118.12,1,0,5315.4
C-1013,58,47,One Year,99.31,6,0,4667.57
C-1014,27,12,Month-to-Month,105.38,3,0,1264.56
C-1015,19,21,Month-to-Month,44.2,7,0,928.2
C-1016,68,11,Two Year,116.06,2,0,1276.66
C-1017,28,5,Two Year,39.69,5,0,198.45
C-1018,30,56,Month-to-Month,115.14,8,0,6447.84
C-1019,27,20,One Year,119.48,0,1,2389.6
C-1020,31,41,Month-to-Month,91.17,0,0,3737.97
C-1021,35,46,Month-to-Month,118.11,7,0,5433.06
C-1022,68,12,One Year,76.95,2,0,923.4
C-1023,26,70,Two Year,45.95,4,0,3216.5
C-1024,56,17,Month-to-Month,63.7,0,1,1082.9
C-1025,45,19,Two Year,79.36,4,0,1507.84
C-1026,20,26,Two Year,27.31,5,1,710.06
C-1027,37,48,One Year,82.23,7,0,3947.04
C-1028,23,52,One Year,118.12,2,0,6142.24
C-1029,44,70,Two Year,39.01,2,0,2730.7
C-1030,19,55,Month-to-Month,99.26,9,0,5459.3
C-1031,46,33,Two Year,110.79,8,0,3656.07
C-1032,55,62,Month-to-Month,114.37,3,0,7090.94
C-1033,20,23,Month-to-Month,116.01,3,0,2668.23
C-1034,33,15,One Year,72.15,6,1,1082.25
C-1035,47,27,Month-to-Month,117.73,1,0,3178.71
C-1036,57,64,Month-to-Month,95.73,7,1,6126.72
C-1037,19,51,Two Year,36.17,5,0,1844.67
C-1038,34,53,One Year,67.69,2,0,3587.57
C-1039,58,51,Month-to-Month,91.83,8,0,4683.33
C-1040,29,47,Month-to-Month,44.73,4,0,2102.31
C-1041,52,4,One Year,84.06,7,0,336.24
C-1042,60,7,Two Year,86.66,6,0,606.62
C-1043,18,35,One Year,36.27,7,0,1269.45
C-1044,62,48,One Year,76.51,6,1,3672.48
C-1045,32,45,Month-to-Month,97.16,2,0,4372.2
C-1046,43,19,Month-to-Month,69.89,1,1,1327.91
C-1047,54,63,Two Year,21.21,6,0,1336.23
C-1048,38,38,Month-to-Month,20.9,2,0,794.2
C-1049,66,67,Month-to-Month,55.7,2,0,3731.9
C-1050,48,59,One Year,112.62,1,0,6644.58
C-1051,42,69,Month-to-Month,42.87,3,0,2958.03
C-1052,40,13,Two Year,83.44,7,0,1084.72
C-1053,41,47,One Year,42.21,0,0,1983.87
C-1054,55,61,Two Year,52.17,0,0,3182.37
C-1055,45,31,One Year,104.8,4,1,3248.8
C-1056,38,22,Month-to-Month,92.89,4,1,2043.58
C-1057,60,43,One Year,29.54,0,0,1270.22
C-1058,35,67,One Year,62.87,5,0,4212.29
C-1059,53,54,Month-to-Month,22.92,0,0,1237.68
C-1060,52,10,Month-to-Month,68.09,4,0,680.9
C-1061,62,42,Two Year,86.24,8,0,3622.08
C-1062,26,64,Two Year,31.85,4,0,2038.4
C-1063,55,21,Month-to-Month,48.89,5,0,1026.69
C-1064,47,66,Month-to-Month,59.78,7,0,3945.48
C-1065,61,41,Month-to-Month,111.95,0,0,4589.95
C-1066,51,24,One Year,119.33,1,1,2863.92
C-1067,49,35,One Year,24.49,8,1,857.15
C-1068,20,56,One Year,96.1,2,0,5381.6
C-1069,20,30,Month-to-Month,57.17,5,1,1715.1
C-1070,45,57,Two Year,59.25,4,1,3377.25
C-1071,61,47,Month-to-Month,95.43,1,0,4485.21
C-1072,32,35,One Year,111.84,6,0,3914.4
C-1073,58,19,One Year,115.09,3,0,2186.71
