date,revenue,cost,marketing_spend,conversions,visitors,region,profit
2026-01-01,740.07,464.63,111.16,75,285,East,275.44
2026-01-02,644.31,840.95,68.83,38,675,East,-196.64
2026-01-03,615.7,429.12,75.69,24,251,North,186.58
2026-01-04,527.25,830.61,174.1,21,310,West,-303.36
2026-01-05,1023.59,635.64,137.73,37,242,South,387.95
2026-01-06,718.26,797.09,100.63,33,410,West,-78.83
2026-01-07,1489.43,727.71,170.43,30,399,South,761.72
2026-01-08,1074.44,718.02,86.98,19,951,South,356.42
2026-01-09,637.89,494.61,196.4,27,826,West,143.28
2026-01-10,1188.76,440.34,101.72,23,225,East,748.42
2026-01-11,1397.74,426.53,100.6,43,498,North,971.21
2026-01-12,1245.18,814.31,96.79,67,276,South,430.87
2026-01-13,576.44,792.26,68.32,31,336,East,-215.82
2026-01-14,1395.88,564.34,66.67,79,219,South,831.54
2026-01-15,1293.93,379.44,147.22,45,639,North,914.49
2026-01-16,8500.0,529.35,181.27,54,410,South,7900.0
2026-01-17,551.79,671.61,168.58,45,951,North,-119.82
2026-01-18,1057.31,572.64,71.17,31,750,North,484.67
2026-01-19,656.04,768.11,131.84,70,634,South,-112.07
2026-01-20,1334.59,898.57,65.84,65,979,South,436.02
2026-01-21,858.33,414.68,56.79,42,406,North,443.65
2026-01-22,1412.89,575.79,148.46,54,638,East,837.1
2026-01-23,1065.69,558.59,130.27,45,978,West,507.1
2026-01-24,682.67,482.7,62.3,29,865,North,199.97
2026-01-25,639.6,418.86,55.24,27,241,South,220.74
2026-01-26,1076.47,339.42,198.46,47,610,South,737.05
2026-01-27,1261.88,832.27,54.5,76,722,East,429.61
2026-01-28,1281.51,551.91,116.68,32,809,West,729.6
2026-01-29,775.76,598.14,125.69,25,626,North,177.62
2026-01-30,704.25,850.17,67.59,68,474,North,-145.92
2026-01-31,516.76,765.77,75.36,78,647,West,-249.01
2026-02-01,1179.2,378.3,102.77,77,941,North,800.9
2026-02-02,576.57,639.25,164.25,30,568,West,-62.68
2026-02-03,920.76,565.35,126.06,79,419,South,355.41
2026-02-04,1101.68,778.33,145.69,21,776,West,323.35
2026-02-05,1437.11,734.54,197.78,25,431,North,702.57
2026-02-06,811.8,714.24,165.2,23,527,West,97.56
2026-02-07,749.77,504.33,115.15,70,642,East,245.44
2026-02-08,1154.16,782.98,116.97,55,251,South,371.18
2026-02-09,1119.24,331.43,142.82,41,575,South,787.81
2026-02-10,832.11,395.77,149.8,24,462,West,436.34
2026-02-11,1428.1,501.37,125.11,53,466,North,926.73
2026-02-12,1344.86,346.08,146.73,26,558,East,998.78
2026-02-13,723.98,441.0,53.53,50,516,South,282.98
2026-02-14,739.14,798.09,114.44,63,523,South,-58.95
2026-02-15,1012.3,868.95,91.84,53,865,North,143.35
2026-02-16,1273.57,482.76,69.38,14,851,North,790.81
2026-02-17,544.04,458.71,64.93,36,762,East,85.33
2026-02-18,1193.34,467.94,140.48,52,828,West,725.4
2026-02-19,1148.24,466.63,128.54,40,620,North,681.61
2026-02-20,731.48,321.56,88.04,26,245,West,409.92
2026-02-21,1181.35,856.15,120.64,63,799,East,325.2
2026-02-22,1440.18,428.22,123.83,71,919,West,1011.96
2026-02-23,546.79,552.0,79.25,41,468,South,-5.21
2026-02-24,819.65,305.81,147.81,49,800,West,513.84
2026-02-25,938.18,814.77,167.14,22,580,East,123.41
2026-02-26,1399.26,738.69,168.72,44,317,East,660.57
2026-02-27,1462.26,868.05,140.37,14,765,East,594.21
2026-02-28,944.12,768.97,126.75,38,315,West,175.15
2026-03-01,1250.03,488.22,59.15,79,829,South,761.81
2026-03-02,1031.66,448.72,93.17,34,459,North,582.94
2026-03-03,1037.78,718.63,63.99,31,274,South,319.15
2026-03-04,778.1,518.47,194.57,75,679,West,259.63
2026-03-05,716.96,639.73,70.26,54,504,West,77.23
2026-03-06,788.01,303.75,72.77,78,206,North,484.26
2026-03-07,1056.33,337.13,183.44,10,565,West,719.2
2026-03-08,529.16,621.22,191.59,53,833,East,-92.06
2026-03-09,1407.25,639.64,164.87,48,722,East,767.61
2026-03-10,656.28,750.87,50.81,63,547,East,-94.59
2026-03-11,720.09,379.18,50.2,38,637,East,340.91
2026-03-12,1018.28,607.91,106.72,63,414,East,410.37
2026-03-13,1210.11,416.67,71.51,25,628,West,793.44
2026-03-14,595.73,355.92,52.76,29,990,North,239.81
2026-03-15,817.69,546.3,119.61,55,697,North,271.39
2026-03-16,1468.67,398.0,191.46,76,739,East,1070.67
2026-03-17,762.34,433.07,98.57,74,946,West,329.27
2026-03-18,813.05,490.53,149.17,67,566,South,322.52
2026-03-19,1336.5,455.63,147.84,62,512,South,880.87
2026-03-20,550.21,352.55,87.66,10,737,West,197.66
2026-03-21,964.61,353.95,147.56,75,253,East,610.66
2026-03-22,879.62,415.95,81.85,38,740,North,463.67
2026-03-23,816.59,330.34,68.3,79,666,West,486.25
2026-03-24,785.7,675.87,155.21,17,363,South,109.83
2026-03-25,591.37,472.4,67.02,38,981,South,118.97
2026-03-26,814.83,467.85,199.54,60,533,South,346.98
2026-03-27,543.05,499.2,77.52,42,746,East,43.85
2026-03-28,1280.96,697.68,139.12,12,997,South,583.28
2026-03-29,898.23,822.38,111.71,69,547,West,75.85
2026-03-30,943.9,755.45,68.96,44,472,West,188.45
2026-03-31,1393.59,736.52,54.18,78,919,South,657.07
2026-04-01,1158.05,590.63,143.41,29,949,West,567.42
2026-04-02,508.06,716.28,171.01,48,613,South,-208.22
2026-04-03,1443.17,631.66,176.3,13,699,South,811.51
2026-04-04,737.14,429.75,122.41,28,292,North,307.39
2026-04-05,607.61,425.15,166.62,54,884,East,182.46
2026-04-06,1268.13,477.84,150.93,52,278,East,790.29
2026-04-07,1000.48,846.48,158.64,22,821,North,154.0
2026-04-08,933.77,628.45,123.89,22,416,North,305.32
2026-04-09,749.5,740.34,145.01,69,557,East,9.16
2026-04-10,1047.47,507.94,170.83,66,817,South,539.53
