campaign_id,start_date,channel,spend,impressions,clicks,conversions,revenue_generated
MKT-100,2026-01-04,Facebook Ads,127.68,4917,104,8,1105.59
MKT-101,2026-01-11,Facebook Ads,570.06,3936,94,2,227.95
MKT-102,2026-01-18,SEO Organic,1745.96,37630,1554,75,10673.48
MKT-103,2026-01-25,LinkedIn Ads,412.79,15506,770,63,3920.88
MKT-104,2026-02-01,Email Newsletters,888.74,29805,584,38,2400.39
MKT-105,2026-02-08,SEO Organic,127.23,15318,688,28,2121.68
MKT-106,2026-02-15,Facebook Ads,1008.84,49068,2120,160,20433.86
MKT-107,2026-02-22,SEO Organic,139.94,27026,513,33,2709.27
MKT-108,2026-03-01,Google Ads,1657.26,28672,744,62,5734.54
MKT-109,2026-03-08,Facebook Ads,1667.22,39417,1040,81,8913.8
MKT-110,2026-03-15,Google Ads,1596.71,28281,1389,95,16319.09
MKT-111,2026-03-22,Facebook Ads,638.39,49442,852,50,2603.97
MKT-112,2026-03-29,SEO Organic,1690.75,29091,1220,37,5454.05
MKT-113,2026-04-05,LinkedIn Ads,1131.7,39328,919,37,5562.26
MKT-114,2026-04-12,Email Newsletters,810.24,49219,1931,103,17489.23
MKT-115,2026-04-19,Google Ads,1288.13,19610,525,35,6646.95
MKT-116,2026-04-26,SEO Organic,123.45,2079,68,4,212.08
MKT-117,2026-05-03,LinkedIn Ads,371.63,30850,1335,57,4164.85
MKT-118,2026-05-10,SEO Organic,1510.36,47751,2013,41,7499.95
MKT-119,2026-05-17,Google Ads,563.91,21590,964,57,6770.33
MKT-120,2026-05-24,Email Newsletters,1236.22,31951,395,16,2155.02
MKT-121,2026-05-31,SEO Organic,831.69,16327,615,48,7173.8
MKT-122,2026-06-07,Facebook Ads,1724.13,13755,214,4,607.44
MKT-123,2026-06-14,LinkedIn Ads,1909.59,8235,219,14,2656.65
MKT-124,2026-06-21,SEO Organic,1778.77,18197,581,55,10974.83
MKT-125,2026-06-28,LinkedIn Ads,614.18,22473,586,19,3002.45
MKT-126,2026-07-05,Facebook Ads,468.91,3031,93,5,465.42
MKT-127,2026-07-12,Email Newsletters,1001.43,42282,2108,57,10371.88
MKT-128,2026-07-19,Email Newsletters,113.93,42863,660,46,2639.62
MKT-129,2026-07-26,Facebook Ads,149.04,15287,565,36,3047.84
MKT-130,2026-08-02,LinkedIn Ads,1151.25,39679,1025,53,9784.22
MKT-131,2026-08-09,SEO Organic,1088.85,45463,696,42,3714.01
MKT-132,2026-08-16,Facebook Ads,1989.71,33230,543,49,4071.79
MKT-133,2026-08-23,Google Ads,483.5,20037,961,34,2404.44
MKT-134,2026-08-30,LinkedIn Ads,590.4,28052,1267,27,4829.4
MKT-135,2026-09-06,Email Newsletters,315.73,4340,200,17,2125.15
MKT-136,2026-09-13,Facebook Ads,1843.33,41644,2068,136,20567.82
MKT-137,2026-09-20,Email Newsletters,1577.84,49664,910,83,7126.38
MKT-138,2026-09-27,LinkedIn Ads,1662.44,46203,1118,75,12277.95
MKT-139,2026-10-04,Email Newsletters,1815.25,2141,78,6,984.0
MKT-140,2026-10-11,Facebook Ads,1097.31,26425,775,42,4069.37
MKT-141,2026-10-18,LinkedIn Ads,957.27,20281,542,43,4798.9
MKT-142,2026-10-25,Google Ads,727.74,43049,1046,97,7900.99
MKT-143,2026-11-01,Facebook Ads,1219.51,21425,723,47,9234.76
MKT-144,2026-11-08,SEO Organic,963.13,35806,1182,40,5873.62
MKT-145,2026-11-15,Facebook Ads,957.97,33113,544,22,4183.99
MKT-146,2026-11-22,LinkedIn Ads,1880.16,5270,152,5,477.54
MKT-147,2026-11-29,Facebook Ads,1969.66,43814,1408,55,9200.6
MKT-148,2026-12-06,Google Ads,1613.32,5683,186,8,1319.03
MKT-149,2026-12-13,Google Ads,1537.84,40884,752,48,7379.92
