product_id,product_name,category,stock_level,cost_price,selling_price,reorder_point,supplier_rating
P-100,Widget Model A0,Perishable,282,6.04,9.17,13,3.7
P-101,Widget Model B1,Hardware,78,187.99,336.72,22,4.8
P-102,Widget Model C2,Software,491,85.89,111.62,29,3.7
P-103,Widget Model D3,Software,441,83.46,105.88,22,3.9
P-104,Widget Model E4,Hardware,467,81.17,97.83,26,4.4
P-105,Widget Model F5,Perishable,211,18.52,23.95,45,4.1
P-106,Widget Model G6,Hardware,392,129.47,171.47,42,3.7
P-107,Widget Model H7,Software,484,147.94,233.5,10,3.9
P-108,Widget Model I8,Accessory,283,136.84,182.25,24,4.6
P-109,Widget Model J9,Perishable,379,31.99,38.78,22,3.6
P-110,Widget Model K10,Software,330,117.87,199.9,26,3.3
P-111,Widget Model L11,Perishable,476,116.05,164.72,33,3.6
P-112,Widget Model M12,Hardware,344,174.34,246.21,17,4.7
P-113,Widget Model N13,Accessory,361,78.93,109.04,36,3.2
P-114,Widget Model O14,Hardware,344,77.44,138.25,32,5.0
P-115,Widget Model P15,Accessory,208,125.61,163.55,17,4.1
P-116,Widget Model Q16,Perishable,165,128.45,223.37,17,5.0
P-117,Widget Model R17,Perishable,32,96.51,160.79,35,4.9
P-118,Widget Model S18,Hardware,396,91.4,113.87,22,3.9
P-119,Widget Model T19,Accessory,261,101.36,181.64,48,3.4
P-120,Widget Model U20,Accessory,169,172.9,235.63,46,3.3
P-121,Widget Model V21,Perishable,67,94.93,119.53,37,3.5
P-122,Widget Model W22,Hardware,26,188.29,319.64,34,4.4
P-123,Widget Model X23,Accessory,74,103.28,167.73,25,3.5
P-124,Widget Model Y24,Perishable,385,190.09,298.5,11,3.7
P-125,Widget Model Z25,Software,409,167.4,216.55,27,3.9
P-126,Widget Model A26,Hardware,100,75.67,112.53,26,4.8
P-127,Widget Model B27,Software,167,173.41,289.31,39,3.4
P-128,Widget Model C28,Hardware,83,26.46,36.57,48,3.0
P-129,Widget Model D29,Perishable,9,185.38,257.12,22,3.1
P-130,Widget Model E30,Accessory,320,128.17,154.05,41,4.8
P-131,Widget Model F31,Accessory,124,15.61,20.36,38,4.3
P-132,Widget Model G32,Accessory,306,130.63,225.37,39,3.5
P-133,Widget Model H33,Hardware,182,194.98,285.66,27,3.4
P-134,Widget Model I34,Perishable,180,18.61,33.32,22,3.6
P-135,Widget Model J35,Software,394,113.16,162.66,30,3.2
P-136,Widget Model K36,Perishable,221,150.82,245.7,39,4.9
P-137,Widget Model L37,Software,60,163.0,223.17,30,4.6
P-138,Widget Model M38,Hardware,370,85.7,121.55,26,3.9
P-139,Widget Model N39,Hardware,191,44.81,58.9,49,4.7
P-140,Widget Model O40,Software,236,13.26,18.67,28,3.5
P-141,Widget Model P41,Software,259,118.05,180.42,24,4.4
P-142,Widget Model Q42,Software,417,93.32,167.52,18,4.7
P-143,Widget Model R43,Perishable,459,190.01,303.73,19,3.7
P-144,Widget Model S44,Software,108,16.82,22.19,40,4.5
P-145,Widget Model T45,Hardware,81,138.65,170.12,32,3.6
P-146,Widget Model U46,Hardware,234,9.87,12.59,39,3.6
P-147,Widget Model V47,Accessory,406,38.43,59.09,42,3.2
P-148,Widget Model W48,Software,262,93.45,155.04,18,3.9
P-149,Widget Model X49,Perishable,268,93.7,165.31,10,4.5
P-150,Widget Model Y50,Perishable,335,138.71,167.77,44,4.9
P-151,Widget Model Z51,Perishable,485,182.49,276.23,20,4.2
P-152,Widget Model A52,Accessory,186,129.61,192.15,43,4.7
P-153,Widget Model B53,Hardware,385,190.94,304.29,25,4.6
P-154,Widget Model C54,Perishable,260,176.92,271.7,18,3.3
P-155,Widget Model D55,Hardware,42,118.98,191.82,41,4.0
P-156,Widget Model E56,Accessory,180,167.59,267.28,24,3.2
P-157,Widget Model F57,Software,31,130.3,165.51,21,4.4
P-158,Widget Model G58,Software,280,20.32,34.13,42,4.9
P-159,Widget Model H59,Software,144,149.41,190.34,23,3.3
P-160,Widget Model I60,Perishable,303,23.51,38.07,17,4.5
P-161,Widget Model J61,Software,449,120.85,175.19,17,4.3
P-162,Widget Model K62,Perishable,291,142.01,214.2,36,4.2
P-163,Widget Model L63,Accessory,95,17.97,31.3,21,3.8
P-164,Widget Model M64,Accessory,484,50.0,86.7,10,3.7
