date,customer_id,product_category,quantity,unit_price,region,revenue,cost
2026-01-01,C-202,Home,6,41.84,North,251.04,145.49
2026-01-01,C-535,Electronics,6,206.77,East,1240.62,531.61
2026-01-01,C-960,Apparel,7,420.53,North,2943.71,1509.53
2026-01-01,C-370,Beauty,4,122.98,North,491.92,277.95
2026-01-01,C-206,Apparel,8,417.01,East,3336.08,1723.41
2026-01-02,C-171,Apparel,7,68.97,East,482.79,216.82
2026-01-02,C-800,Electronics,9,33.0,West,297.0,143.19
2026-01-02,C-120,Office,7,198.2,West,1387.4,941.34
2026-01-02,C-714,Apparel,3,28.0,South,84.0,50.63
2026-01-02,C-221,Home,3,479.06,East,1437.18,788.75
2026-01-03,C-566,Office,8,414.84,West,3318.72,1340.15
2026-01-03,C-314,Beauty,5,402.38,South,2011.9,1403.75
2026-01-03,C-430,Electronics,4,318.59,South,1274.36,766.45
2026-01-03,C-558,Beauty,8,116.0,South,928.0,459.43
2026-01-03,C-187,Office,6,263.95,West,1583.7,1051.23
2026-01-04,C-472,Office,2,302.66,East,605.32,289.06
2026-01-04,C-199,Office,4,267.27,North,1069.08,602.11
2026-01-04,C-971,Beauty,4,137.51,South,550.04,324.98
2026-01-04,C-763,Office,6,262.47,West,1574.82,734.37
2026-01-04,C-230,Beauty,6,250.68,West,1504.08,1043.11
2026-01-05,C-761,Office,1,498.2,North,498.2,311.1
2026-01-05,C-408,Home,8,449.74,North,3597.92,2041.26
2026-01-05,C-869,Office,6,237.06,West,1422.36,646.01
2026-01-05,C-443,Beauty,3,315.24,East,945.72,393.57
2026-01-05,C-591,Apparel,9,376.46,North,3388.14,1680.58
2026-01-06,C-513,Office,2,27.08,West,54.16,33.9
2026-01-06,C-905,Apparel,8,448.51,North,3588.08,1725.15
2026-01-06,C-485,Home,3,431.46,East,1294.38,727.27
2026-01-06,C-291,Electronics,5,234.14,South,1170.7,723.94
2026-01-06,C-376,Home,6,201.67,North,1210.02,523.19
2026-01-07,C-260,Office,6,143.75,East,862.5,522.32
2026-01-07,C-559,Apparel,4,243.57,West,974.28,416.56
2026-01-07,C-413,Apparel,3,31.74,North,95.22,65.66
2026-01-07,C-121,Beauty,4,427.57,North,1710.28,934.7
2026-01-07,C-352,Apparel,1,27.36,West,27.36,12.18
2026-01-08,C-847,Beauty,4,171.24,South,684.96,344.34
2026-01-08,C-956,Electronics,1,466.48,West,466.48,244.45
2026-01-08,C-660,Office,1,370.25,North,370.25,232.32
2026-01-08,C-574,Beauty,6,147.88,West,887.28,552.8
2026-01-08,C-158,Electronics,5,133.8,East,669.0,390.42
2026-01-09,C-610,Apparel,4,12.49,West,49.96,21.57
2026-01-09,C-781,Apparel,3,350.9,North,1052.7,468.95
